User inputs:,Total Allowable Power:,Number of Time Steps:,Chosen Seed:
 ,200000,10,none

Max Affected Locations,10000001,10000003,10000006,10000015,10000019,10000020,10000024,10000028,10000029,10000038,10000046,10000051,10000053,10000055,10000058,10000062,10000073,10000074,10000076,10000079,10000081,10000086,10000087,10000093,10000100,
Time Step,1,2,3,4,5,6,7,8,9,10,
App Turned On,607,169,316,397,408,454,446,436,423,452,
App Turned Low,0,218,309,291,288,301,292,295,287,300,
App Turned off,0,0,423,539,676,740,794,830,862,898,
Total App On,607,558,462,464,457,457,455,455,446,441,
Total App Low,0,218,297,291,270,258,252,246,241,236,
Total App Off,1164,995,1012,1016,1044,1056,1064,1070,1084,1094,
Total Power after On,196799.0,242769.0,277142.0,277067.0,293141.0,301120.5,302698.5,295333.5,293333.5,313128.0,
Total Power after Low,196799.0,199922.0,234152.0,235829.5,252203.5,258015.5,261743.5,253918.5,255601.0,267580.5,
Total Power after Brown,196799.0,199922.0,199827.0,198857.75,197701.25,199559.0,196888.25,197788.75,199931.25,197524.75,
Locations Browned out,0,0,25,32,40,44,47,49,51,53,
